leaf length,leaf width,root length,root width,Class
6.4,5.6,5.6,6.6,pear
5,4.6,3.3,3,ginkgo
4.9,5,4.5,5.1,pear
4.9,6.2,1.5,0.3,poplar
5.7,7.6,1.7,0.9,poplar
4.4,6.4,1.3,0.6,poplar
5.4,6.8,1.5,1.2,poplar
6.9,6.2,5.1,6.9,pear
6.7,6.2,4.4,4.2,ginkgo
5.1,7.4,1.5,1.2,poplar
5.2,5.4,3.9,4.2,ginkgo
6.9,6.2,4.9,4.5,ginkgo
5.8,8,1.2,0.6,poplar
5.4,7.8,1.7,1.2,poplar
7.7,7.6,6.7,6.6,pear
6.3,6.6,4.7,4.8,ginkgo
6.8,6.4,5.9,6.9,pear
7.6,6,6.6,6.3,pear
6.4,6.4,5.3,6.9,pear
5.7,8.8,1.5,1.2,poplar
6.7,6.6,5.7,6.3,pear
6.4,5.6,5.6,6.3,pear
5.4,7.8,1.3,1.2,poplar
6.1,5.2,5.6,4.2,pear
7.2,6,5.8,4.8,pear
5.2,7,1.5,0.6,poplar
5.8,5.2,4,3.6,ginkgo
5.9,6,5.1,5.4,pear
5.4,6,4.5,4.5,ginkgo
6.7,6,5,5.1,ginkgo
6.3,4.6,4.4,3.9,ginkgo
5.1,5,3,3.3,ginkgo
6.4,6.4,4.5,4.5,ginkgo
6.8,6,5.5,6.3,pear
6.2,5.6,4.8,5.4,pear
6.9,6.4,5.7,6.9,pear
6.5,6.4,5.1,6,pear
5.8,5.6,5.1,7.2,pear
5.1,7.6,1.5,0.9,poplar
4.8,6,1.4,0.9,poplar
7.9,7.6,6.4,6,pear
5.8,5.4,5.1,5.7,pear
6.7,6,5.2,6.9,pear
5.1,7.6,1.9,1.2,poplar
4.7,6.4,1.6,0.6,poplar
6,4.4,5,4.5,pear
4.8,6.8,1.6,0.6,poplar
7.7,5.2,6.9,6.9,pear
4.6,7.2,1,0.6,poplar
7.2,6.4,6,5.4,pear
5,6.6,1.4,0.6,poplar
6.6,6,4.4,4.2,ginkgo
6.1,5.6,4,3.9,ginkgo
5,6.4,1.2,0.6,poplar
7,6.4,4.7,4.2,ginkgo
6,6,4.8,5.4,pear
7.4,5.6,6.1,5.7,pear
5.8,5.4,5.1,5.7,pear
6.2,6.8,5.4,6.9,pear
5,4,3.5,3,ginkgo
5.6,5,3.9,3.3,ginkgo
6.7,6.2,5.6,7.2,pear
6.3,5,5,5.7,pear
6.4,6.2,5.5,5.4,pear
6.2,4.4,4.5,4.5,ginkgo
7.3,5.8,6.3,5.4,pear
4.4,6,1.3,0.6,poplar
7.2,7.2,6.1,7.5,pear
6.5,6,5.5,5.4,pear
5,6.8,1.5,0.6,poplar
4.7,6.4,1.3,0.6,poplar
6.6,5.8,4.6,3.9,ginkgo
5.5,7,1.3,0.6,poplar
7.7,6,6.1,6.9,pear
6.1,6,4.9,5.4,pear
4.9,6.2,1.5,0.3,poplar
5.5,4.8,3.8,3.3,ginkgo
5.7,5.8,4.2,3.9,ginkgo
6,5.8,4.5,4.5,ginkgo
6.4,5.4,5.3,5.7,pear
5.4,7.4,1.5,0.6,poplar
6.1,5.8,4.7,4.2,ginkgo
6.5,5.6,4.6,4.5,ginkgo
5.6,5.4,4.2,3.9,ginkgo
6.3,6.8,5.6,7.2,pear
4.9,6.2,1.5,0.3,poplar
6.8,5.6,4.8,4.2,ginkgo
5.7,5.6,4.5,3.9,ginkgo
6,5.4,5.1,4.8,ginkgo
5,7,1.3,0.9,poplar
6.5,6,5.2,6,pear
6.1,5.6,4.7,3.6,ginkgo
5.1,7,1.4,0.9,poplar
4.6,6.2,1.5,0.6,poplar
6.5,6,5.8,6.6,pear
4.6,6.8,1.4,0.9,poplar
4.6,6.4,1.4,0.6,poplar
7.7,5.6,6.7,6,pear
5.9,6.4,4.8,5.4,ginkgo
5.1,7.6,1.6,0.6,poplar
4.9,6,1.4,0.6,poplar
4.9,4.8,3.3,3,ginkgo
4.5,4.6,1.3,0.9,poplar
5.8,5.4,4.1,3,ginkgo
5,6.8,1.6,1.2,poplar
5.2,6.8,1.4,0.6,poplar
5.3,7.4,1.5,0.6,poplar
5,7.2,1.4,0.6,poplar
5.6,5.8,3.6,3.9,ginkgo
4.8,6.2,1.6,0.6,poplar
6.3,5.4,4.9,5.4,pear
5.7,5.6,4.1,3.9,ginkgo
5,6,1.6,0.6,poplar
6.3,6.6,6,7.5,pear
5,7,1.6,1.8,poplar
5.5,5.2,4.4,3.6,ginkgo
5.7,6,4.2,3.6,ginkgo
4.4,5.8,1.4,0.6,poplar
4.8,6,1.4,0.3,poplar
5.5,4.8,3.7,3,ginkgo
5.9,6,4.2,4.5,ginkgo
6.9,6.2,5.4,6.3,pear
5.1,6.6,1.7,1.5,poplar
6,6.8,4.5,4.8,ginkgo
5.5,5,4,3.9,ginkgo
6.2,5.8,4.3,3.9,ginkgo
5.5,8.4,1.4,0.6,poplar
6.3,5.6,5.1,4.5,pear
5.6,6,4.1,3.9,ginkgo
6.7,5,5.8,5.4,pear
7.1,6,5.9,6.3,pear
4.3,6,1.1,0.3,poplar
5.6,5.6,4.9,6,pear
5.5,4.6,4,3.9,ginkgo
6,4.4,4,3,ginkgo
5.1,7,1.4,0.6,poplar
5.7,5.2,3.5,3,ginkgo
4.8,6.8,1.9,0.6,poplar
5.1,6.8,1.5,0.6,poplar
5.7,5,5,6,pear
5.4,6.8,1.7,0.6,poplar
5.6,6,4.5,4.5,ginkgo
6.3,5.8,5.6,5.4,pear
6.3,5,4.9,4.5,ginkgo
5.8,5.4,3.9,3.6,ginkgo
6.1,6,4.6,4.2,ginkgo
5.2,8.2,1.5,0.3,poplar
6.7,6.2,4.7,4.5,ginkgo
6.7,6.6,5.7,7.5,pear
6.4,5.8,4.3,3.9,ginkgo
