RM,LSTAT,DIS,AGE,MEDV,name
6.575,4.98,4.09,65.2,24,one
6.421,9.14,4.9671,78.9,21.6,one
7.185,4.03,4.9671,61.1,34.7,one
6.998,2.94,6.0622,45.8,33.4,one
7.147,5.33,6.0622,54.2,36.2,one
6.43,5.21,6.0622,58.7,28.7,one
6.012,12.43,5.5605,66.6,22.9,one
6.172,19.15,5.9505,96.1,27.1,one
5.631,29.93,6.0821,100,16.5,one
6.004,17.1,6.5921,85.9,18.9,one
6.377,20.45,6.3467,94.3,15,one
6.009,13.27,6.2267,82.9,18.9,one
5.889,15.71,5.4509,39,21.7,one
5.949,8.26,4.7075,61.8,20.4,one
6.096,10.26,4.4619,84.5,18.2,one
5.834,8.47,4.4986,56.5,19.9,one
5.935,6.58,4.4986,29.3,23.1,one
5.99,14.67,4.2579,81.7,17.5,one
5.456,11.69,3.7965,36.6,20.2,one
5.727,11.28,3.7965,69.5,18.2,one
5.57,21.02,3.7979,98.1,13.6,one
5.965,13.83,4.0123,89.2,19.6,one
6.142,18.72,3.9769,91.7,15.2,one
5.813,19.88,4.0952,100,14.5,one
5.924,16.3,4.3996,94.1,15.6,one
5.599,16.51,4.4546,85.7,13.9,one
5.813,14.81,4.682,90.3,16.6,one
6.047,17.28,4.4534,88.8,14.8,one
6.495,12.8,4.4547,94.4,18.4,one
6.674,11.98,4.239,87.3,21,one
5.713,22.6,4.233,94.1,12.7,one
6.072,13.04,4.175,100,14.5,one
5.95,27.71,3.99,82,13.2,one
5.701,18.35,3.7872,95,13.1,one
6.096,20.34,3.7598,96.9,13.5,one
5.933,9.68,3.3603,68.2,18.9,one
5.841,11.41,3.3779,61.4,20,one
5.85,8.77,3.9342,41.5,21,one
5.966,10.13,3.8473,30.2,24.7,one
6.595,4.32,5.4011,21.8,30.8,one
7.024,1.98,5.4011,15.8,34.9,one
6.77,4.84,5.7209,2.9,26.6,one
6.169,5.81,5.7209,6.6,25.3,one
6.211,7.44,5.7209,6.5,24.7,one
6.069,9.55,5.7209,40,21.2,one
